"character_code","fictional_work","character_name","gender","spectrum","spectrum_low","spectrum_high","mean_rating","num_ratings"
"A/4","Alien","Ash","male","BAP48","libertarian","socialist",-1.2,53
"A/4","Alien","Ash","male","BAP49","scheduled","spontaneous",-38,68
"A/4","Alien","Ash","male","BAP50","works hard","plays hard",-32,76
"A/4","Alien","Ash","male","BAP51","reasoned","instinctual",-28.4,62
"A/4","Alien","Ash","male","BAP52","focused on the present","focused on the future",25.1,72
"A/4","Alien","Ash","male","BAP53","empirical","theoretical",-5.4,78
"A/4","Alien","Ash","male","BAP54","open","guarded",36.4,67
"A/4","Alien","Ash","male","BAP55","methodical","astonishing",-36.2,64
"A/4","Alien","Ash","male","BAP56","mighty","puny",1.9,58
"A/4","Alien","Ash","male","BAP57","bossy","meek",-10.1,80
"A/4","Alien","Ash","male","BAP58","barbaric","civilized",11.5,72
"A/4","Alien","Ash","male","BAP59","gregarious","private",32.7,83
"A/4","Alien","Ash","male","BAP60","quiet","loud",-26.4,88
"A/4","Alien","Ash","male","BAP61","political","nonpolitical",-14,65
"A/4","Alien","Ash","male","BAP62","confident","insecure",-25.4,72
"A/4","Alien","Ash","male","BAP63","democratic","authoritarian",31.4,78
"A/4","Alien","Ash","male","BAP64","debased","pure",-11.8,64
"A/4","Alien","Ash","male","BAP65","fast","slow",-12.8,67
"A/4","Alien","Ash","male","BAP66","frugal","lavish",-24.5,64
"A/4","Alien","Ash","male","BAP67","ludicrous","sensible",13.9,59
"A/4","Alien","Ash","male","BAP68","orange","purple",-10,51
"A/4","Alien","Ash","male","BAP69","tall","short",5.9,68
"A/4","Alien","Ash","male","BAP70","young","old",17.8,63
"A/4","Alien","Ash","male","BAP71","down2earth","head@clouds",-18.2,62
"A/4","Alien","Ash","male","BAP72","extrovert","introvert",23.9,81
"A/4","Alien","Ash","male","BAP73","open to new experinces","uncreative",23.6,63
"A/4","Alien","Ash","male","BAP74","calm","anxious",-25.4,71
"A/4","Alien","Ash","male","BAP75","disorganized","self-disciplined",38,72
"A/4","Alien","Ash","male","BAP76","quarrelsome","warm",-23.3,82
"A/4","Alien","Ash","male","BAP77","nerd","jock",-29.2,73
"A/4","Alien","Ash","male","BAP78","lowbrow","highbrow",20.8,61
"A/4","Alien","Ash","male","BAP79","selfish","altruistic",-17.8,50
"A/4","Alien","Ash","male","BAP80","autistic","neurotypical",8.8,50
"A/4","Alien","Ash","male","BAP81","angelic","demonic",27.3,65
"A/4","Alien","Ash","male","BAP82","hesitant","decisive",27.4,69
"A/4","Alien","Ash","male","BAP83","devout","heathen",-10.3,60
"A/4","Alien","Ash","male","BAP84","cruel","kind",-23.6,75
"A/4","Alien","Ash","male","BAP85","direct","roundabout",-16.7,56
"A/4","Alien","Ash","male","BAP86","mathematical","literary",-37.3,73
"A/4","Alien","Ash","male","BAP87","blue-collar","ivory-tower",14.3,80
"A/4","Alien","Ash","male","BAP88","slovenly","stylish",-1.8,65
"A/4","Alien","Ash","male","BAP89","playful","shy",10.2,66
"A/4","Alien","Ash","male","BAP90","serious","bold",-27.1,77
"A/4","Alien","Ash","male","BAP91","charming","trusting",-5.3,58
"A/4","Alien","Ash","male","BAP92","awkward","suspicious",21.1,83
"A/4","Alien","Ash","male","BAP93","hipster","basic",31.3,73
"A/4","Alien","Ash","male","BAP94","coordinated","clumsy",-32.9,69
"A/4","Alien","Ash","male","BAP95","funny","humorless",33.9,76
"A/4","Alien","Ash","male","BAP96","politically correct","edgy",-5.5,57
"A/4","Alien","Ash","male","BAP97","rich","poor",-12.7,55
"A/4","Alien","Ash","male","BAP98","hard","soft",-29.9633027522936,218
"A/4","Alien","Ash","male","BAP99","remote","involved",-7.2,84
"A/4","Alien","Ash","male","BAP100","metaphorical","literal",15.2,56
"A/4","Alien","Ash","male","BAP101","biased","impartial",-14.6,77
"A/4","Alien","Ash","male","BAP102","mundane","extraordinary",2.3,55
"A/4","Alien","Ash","male","BAP103","tiresome","interesting",0.600000000000001,70
"A/4","Alien","Ash","male","BAP104","smooth","rough",-2.3,77
"A/4","Alien","Ash","male","BAP105","spicy","mild",18.6,62
"A/4","Alien","Ash","male","BAP106","enslaved","emancipated",-16.6,56
"A/4","Alien","Ash","male","BAP107","optimistic","pessimistic",17.6,73
"A/4","Alien","Ash","male","BAP108","sickly","healthy",5.8,76
"A/4","Alien","Ash","male","BAP109","luddite","technophile",35,47
"A/4","Alien","Ash","male","BAP110","vain","demure",-4.7,59
"A/4","Alien","Ash","male","BAP111","high-tech","low-tech",-34.1,74
"A/4","Alien","Ash","male","BAP112","flexible","rigid",34.9,65
"A/4","Alien","Ash","male","BAP113","cosmopolitan","provincial",0.799999999999997,56
"A/4","Alien","Ash","male","BAP114","arcane","mainstream",-1.4,47
"A/4","Alien","Ash","male","BAP115","outlaw","sheriff",11.1,75
"A/4","Alien","Ash","male","BAP116","pronatalist","child free",28.6,64
"A/4","Alien","Ash","male","BAP117","sad","happy",-17.4,78
"A/4","Alien","Ash","male","BAP118","jealous","compersive",-0.700000000000003,70
"A/4","Alien","Ash","male","BAP119","bitter","sweet",-24,61
"A/4","Alien","Ash","male","BAP120","resigned","resistant",11,58
"A/4","Alien","Ash","male","BAP121","sarcastic","genuine",9.7,59
"A/4","Alien","Ash","male","BAP122","human","animalistic",-5.7,59
"A/4","Alien","Ash","male","BAP123","sporty","bookish",34.8,58
"A/4","Alien","Ash","male","BAP124","moderate","extreme",15.9,61
"A/4","Alien","Ash","male","BAP125","angry","good-humored",-15.4,66
"A/4","Alien","Ash","male","BAP126","depressed","bright",-2.4,65
"A/4","Alien","Ash","male","BAP127","self-conscious","self-assured",25.2,65
"A/4","Alien","Ash","male","BAP128","vulnerable","armoured",21.7,80
"A/4","Alien","Ash","male","BAP129","warm","cold",35.9,92
"A/4","Alien","Ash","male","BAP130","assertive","passive",-17.2,63
"A/4","Alien","Ash","male","BAP131","active","slothful",-25.3,79
"A/4","Alien","Ash","male","BAP132","imaginative","practical",38.7,63
"A/4","Alien","Ash","male","BAP133","adventurous","stick-in-the-mud",24.4,60
"A/4","Alien","Ash","male","BAP134","obedient","rebellious",-15.2,83
"A/4","Alien","Ash","male","BAP135","competent","incompetent",-20.9,76
"A/4","Alien","Ash","male","BAP136","unambitious","driven",33.7,71
"A/4","Alien","Ash","male","BAP137","simple","complicated",22.5,67
"A/4","Alien","Ash","male","BAP138","proletariat","bourgeoisie",6.8,63
"A/4","Alien","Ash","male","BAP139","alpha","beta",-0.200000000000003,86
"A/4","Alien","Ash","male","BAP140","'right-brained'","'left-brained'",6.9,52
"A/4","Alien","Ash","male","BAP141","thick-skinned","sensitive",-23.3,60
"A/4","Alien","Ash","male","BAP142","charismatic","uninspiring",24.5,60
"A/4","Alien","Ash","male","BAP143","feisty","gracious",-4.1,48
"A/4","Alien","Ash","male","BAP144","eloquent","unpolished",-27.7,75
"A/4","Alien","Ash","male","BAP145","high IQ","low IQ",-31.3,57
"A/4","Alien","Ash","male","BAP146","insider","outsider",6.6,62
"A/4","Alien","Ash","male","BAP147","morning lark","night owl",7.5,65
"A/4","Alien","Ash","male","BAP148","thin","thick",-3,69
"A/4","Alien","Ash","male","BAP149","sheeple","conspiracist",14.2,78
"A/4","Alien","Ash","male","BAP150","neat","messy",-30,67
"A/4","Alien","Ash","male","BAP151","vague","precise",26.8,73
"A/4","Alien","Ash","male","BAP152","philosophical","real",3.8,52
"A/4","Alien","Ash","male","BAP153","modern","historical",-12.6,70
"A/4","Alien","Ash","male","BAP154","judgemental","accepting",-16.5,67
"A/4","Alien","Ash","male","BAP155","average","deviant",22.7,66
"A/4","Alien","Ash","male","BAP156","gossiping","confidential",28.4,61
"A/4","Alien","Ash","male","BAP157","official","backdoor",-11.2,63
"A/4","Alien","Ash","male","BAP158","scholarly","crafty",-15.3,64
"A/4","Alien","Ash","male","BAP159","leisurely","hurried",3.6,59
"A/4","Alien","Ash","male","BAP160","explorer","builder",2.4,63
"A/4","Alien","Ash","male","BAP161","captain","first-mate",21.1,58
"A/4","Alien","Ash","male","BAP162","mysterious","unambiguous",-17.1,55
"A/4","Alien","Ash","male","BAP163","independent","codependent",-13.6,61
"A/4","Alien","Ash","male","BAP164","family-first","work-first",39.5,76
"A/4","Alien","Ash","male","BAP165","scruffy","manicured",31.4,91
"A/4","Alien","Ash","male","BAP166","wild","tame",8.1,56
"A/4","Alien","Ash","male","BAP167","prestigious","disreputable",11.3,69
"A/4","Alien","Ash","male","BAP168","scandalous","proper",8.1,72
"A/4","Alien","Ash","male","BAP169","unprepared","hoarder",18.4,59
"A/4","Alien","Ash","male","BAP170","sheltered","street-smart",-6.8,62
"A/4","Alien","Ash","male","BAP171","open-minded","close-minded",27.5,77
"A/4","Alien","Ash","male","BAP172","permanent","transient",-2.3,79
"A/4","Alien","Ash","male","BAP173","dramatic","no-nonsense",27.6,88
"A/4","Alien","Ash","male","BAP174","apprentice","master",21.2,70
"A/4","Alien","Ash","male","BAP175","straight","queer",-5.4,65
"A/4","Alien","Ash","male","BAP176","androgynous","gendered",-0.700000000000003,76
"A/4","Alien","Ash","male","BAP177","repetitive","varied",-18.9,69
"A/4","Alien","Ash","male","BAP178","patient","impatient",-10.8,94
"A/4","Alien","Ash","male","BAP179","poisonous","nurturing",-24.2,65
"A/4","Alien","Ash","male","BAP180","creepy","disarming",-28.4,79
"A/4","Alien","Ash","male","BAP181","inspiring","cringeworthy",21.2,124
"A/4","Alien","Ash","male","BAP182","soulless","soulful",-32.7,162
"A/4","Alien","Ash","male","BAP184","beautiful","ugly",15.1,125
"A/4","Alien","Ash","male","BAP185","domestic","industrial",35.1,145
"A/4","Alien","Ash","male","BAP186","juvenile","mature",24.5,141
"A/4","Alien","Ash","male","BAP187","idealist","realist",16.7,149
"A/4","Alien","Ash","male","BAP188","nihilist","existentialist",-15.9,132
"A/4","Alien","Ash","male","BAP189","objective","subjective",-22.8,137
"A/4","Alien","Ash","male","BAP190","theist","atheist",31,119
"A/4","Alien","Ash","male","BAP191","classical","avant-garde",-16.5,131
"A/4","Alien","Ash","male","BAP192","utilitarian","decorative",-34.4,131
"A/4","Alien","Ash","male","BAP193","generalist","specialist",22.9,157
"A/4","Alien","Ash","male","BAP194","multicolored","monochrome",28.6,127
"A/4","Alien","Ash","male","BAP195","complimentary","insulting",13.7,134
"A/4","Alien","Ash","male","BAP196","individualist","communal",-9.8,153
"A/4","Alien","Ash","male","BAP197","equitable","hypocritical",15.3,139
"A/4","Alien","Ash","male","BAP198","traditional","unorthodox",-12.5,122
"A/4","Alien","Ash","male","BAP199","workaholic","slacker",-35.3,137
"A/4","Alien","Ash","male","BAP200","resourceful","helpless",-25.9,132
"A/4","Alien","Ash","male","BAP201","crazy","sane",-18.6,9
"A/4","Alien","Ash","male","BAP202","anarchist","statist",14.1,23
"A/4","Alien","Ash","male","BAP203","cool","dorky",5.4,11
"A/4","Alien","Ash","male","BAP204","important","irrelevant",-19,23
"A/4","Alien","Ash","male","BAP205","noob","pro",14.3,20
"A/4","Alien","Ash","male","BAP206","deranged","reasonable",-6.1,17
"A/4","Alien","Ash","male","BAP207","rural","urban",15.8,26
"A/4","Alien","Ash","male","BAP208","introspective","not introspective",6.7,22
"A/4","Alien","Ash","male","BAP209","city-slicker","country-bumpkin",-25.2,16
"A/4","Alien","Ash","male","BAP210","western","eastern",-3.4,24
"A/4","Alien","Ash","male","BAP211","mad","glad",-30.1,14
"A/4","Alien","Ash","male","BAP212","social","reclusive",24.1,17
"A/4","Alien","Ash","male","BAP213","studious","goof-off",-28.6,12
"A/4","Alien","Ash","male","BAP214","slugabed","go-getter",4,8
"A/4","Alien","Ash","male","BAP215","penny-pincher","overspender",-23.3,20
"A/4","Alien","Ash","male","BAP216","liberal","conservative",26.1,18
"A/4","Alien","Ash","male","BAP217","unassuming","pretentious",10.2,23
"A/4","Alien","Ash","male","BAP218","persistent","quitter",-33.4,20
"A/4","Alien","Ash","male","BAP219","hedonist","monastic",15,18
"A/4","Alien","Ash","male","BAP220","patriotic","unpatriotic",-8.5,12
"A/4","Alien","Ash","male","BAP221","tactful","indiscreet",-9.8,11
"A/4","Alien","Ash","male","BAP222","wholesome","salacious",22.7,18
"A/4","Alien","Ash","male","BAP223","joyful","miserable",32.3,20
"A/4","Alien","Ash","male","BAP224","zany","regular",14.5,17
"A/4","Alien","Ash","male","BAP225","alert","oblivious",-25.5,16
"A/4","Alien","Ash","male","BAP226","feminist","sexist",20.8,17
"A/4","Alien","Ash","male","BAP227","racist","egalitarian",0.799999999999997,17
"A/4","Alien","Ash","male","BAP228","abstract","concrete",36.1,17
"A/4","Alien","Ash","male","BAP229","formal","intimate",-39.8,26
"A/4","Alien","Ash","male","BAP230","resolute","wavering",-20,24
"A/4","Alien","Ash","male","BAP231","deep","shallow",3.4,21
"A/4","Alien","Ash","male","BAP232","valedictorian","drop out",-24.7,16
"A/4","Alien","Ash","male","BAP233","minimalist","pack rat",4.6,18
"A/4","Alien","Ash","male","BAP234","trash","treasure",-23.6,19
"A/4","Alien","Ash","male","BAP267","stinky","fresh",-13.2,26
"A/4","Alien","Ash","male","BAP268","legit","scrub",17.9,14
"A/1","Alien","Dallas","male","BAP1","playful","serious",19.1,47
"A/1","Alien","Dallas","male","BAP2","shy","bold",24.6,68
"A/1","Alien","Dallas","male","BAP3","cheery","sorrowful",10.1,52
"A/1","Alien","Dallas","male","BAP4","masculine","feminine",-34.4,68
"A/1","Alien","Dallas","male","BAP5","charming","awkward",-18.9,77
"A/1","Alien","Dallas","male","BAP6","lewd","tasteful",11.6,51
"A/1","Alien","Dallas","male","BAP7","intellectual","physical",-1.5,74
"A/1","Alien","Dallas","male","BAP8","strict","lenient",-7.8,51
"A/1","Alien","Dallas","male","BAP9","refined","rugged",22.1,84
"A/1","Alien","Dallas","male","BAP10","trusting","suspicious",2,75
"A/1","Alien","Dallas","male","BAP11","innocent","worldly",20.2,57
"A/1","Alien","Dallas","male","BAP12","artistic","scientific",27.1,62
"A/1","Alien","Dallas","male","BAP13","stoic","expressive",-20.1,66
"A/1","Alien","Dallas","male","BAP14","cunning","honorable",12.1,52
"A/1","Alien","Dallas","male","BAP15","orderly","chaotic",-14.8,71
"A/1","Alien","Dallas","male","BAP16","normal","weird",-16.1,61
"A/1","Alien","Dallas","male","BAP17","competitive","cooperative",5.6,50
"A/1","Alien","Dallas","male","BAP18","tense","relaxed",-1.1,64
"A/1","Alien","Dallas","male","BAP19","brave","careful",-5.7,68
"A/1","Alien","Dallas","male","BAP20","spiritual","skeptical",26.1,53
"A/1","Alien","Dallas","male","BAP21","unlucky","fortunate",-23.2,83
"A/1","Alien","Dallas","male","BAP22","ferocious","pacifist",-0.899999999999999,49
"A/1","Alien","Dallas","male","BAP23","modest","flamboyant",-15.5,64
"A/1","Alien","Dallas","male","BAP24","dominant","submissive",-16.8,75
"A/1","Alien","Dallas","male","BAP25","forgiving","vengeful",-9,73
"A/1","Alien","Dallas","male","BAP26","wise","foolish",0.700000000000003,47
"A/1","Alien","Dallas","male","BAP27","impulsive","cautious",9.7,61
"A/1","Alien","Dallas","male","BAP28","loyal","traitorous",-18.6,55
"A/1","Alien","Dallas","male","BAP29","creative","conventional",11.1,79
"A/1","Alien","Dallas","male","BAP30","curious","apathetic",-9.2,64
"A/1","Alien","Dallas","male","BAP31","rude","respectful",14.7,61
"A/1","Alien","Dallas","male","BAP32","diligent","lazy",-27.9,51
"A/1","Alien","Dallas","male","BAP33","lustful","chaste",5.6,53
"A/1","Alien","Dallas","male","BAP34","chatty","reserved",20.1,58
"A/1","Alien","Dallas","male","BAP35","emotional","logical",16.3,76
"A/1","Alien","Dallas","male","BAP36","moody","stable",10.1,70
"A/1","Alien","Dallas","male","BAP37","dunce","genius",5.8,61
"A/1","Alien","Dallas","male","BAP38","arrogant","humble",-0.200000000000003,54
"A/1","Alien","Dallas","male","BAP39","heroic","villainous",-21.7,56
"A/1","Alien","Dallas","male","BAP40","attractive","repulsive",-16.2,79
"A/1","Alien","Dallas","male","BAP41","rational","whimsical",-24.2,55
"A/1","Alien","Dallas","male","BAP42","mischievous","well behaved",11.8,77
"A/1","Alien","Dallas","male","BAP43","aloof","obsessed",0,56
"A/1","Alien","Dallas","male","BAP44","indulgent","sober",13.6,66
"A/1","Alien","Dallas","male","BAP45","kinky","vanilla",14.5,72
"A/1","Alien","Dallas","male","BAP46","straightforward","cryptic",-19,53
"A/1","Alien","Dallas","male","BAP47","spontaneous","deliberate",18.9,51
"A/1","Alien","Dallas","male","BAP48","libertarian","socialist",-4.3,47
"A/1","Alien","Dallas","male","BAP49","scheduled","spontaneous",-9.4,70
"A/1","Alien","Dallas","male","BAP50","works hard","plays hard",-13.4,66
"A/1","Alien","Dallas","male","BAP51","reasoned","instinctual",-4.9,62
"A/1","Alien","Dallas","male","BAP52","focused on the present","focused on the future",-11.9,75
"A/1","Alien","Dallas","male","BAP53","empirical","theoretical",-12.6,44
"A/1","Alien","Dallas","male","BAP54","open","guarded",16.3,67
"A/1","Alien","Dallas","male","BAP55","methodical","astonishing",-17.7,63
"A/1","Alien","Dallas","male","BAP56","mighty","puny",-16,41
"A/1","Alien","Dallas","male","BAP57","bossy","meek",-16.9,64
"A/1","Alien","Dallas","male","BAP58","barbaric","civilized",17.9,72
"A/1","Alien","Dallas","male","BAP59","gregarious","private",4.5,65
"A/1","Alien","Dallas","male","BAP60","quiet","loud",-12.4,57
"A/1","Alien","Dallas","male","BAP61","political","nonpolitical",1.9,48
"A/1","Alien","Dallas","male","BAP62","confident","insecure",-19.8,82
"A/1","Alien","Dallas","male","BAP63","democratic","authoritarian",0.200000000000003,53
"A/1","Alien","Dallas","male","BAP64","debased","pure",7.5,52
"A/1","Alien","Dallas","male","BAP65","fast","slow",-1.4,64
"A/1","Alien","Dallas","male","BAP66","frugal","lavish",-15.2,63
"A/1","Alien","Dallas","male","BAP67","ludicrous","sensible",18.3,73
"A/1","Alien","Dallas","male","BAP68","orange","purple",-10.9,62
"A/1","Alien","Dallas","male","BAP69","tall","short",-15,77
"A/1","Alien","Dallas","male","BAP70","young","old",6.5,68
"A/1","Alien","Dallas","male","BAP71","down2earth","head@clouds",-23.8,65
"A/1","Alien","Dallas","male","BAP72","extrovert","introvert",5.3,57
"A/1","Alien","Dallas","male","BAP73","open to new experinces","uncreative",3.4,56
"A/1","Alien","Dallas","male","BAP74","calm","anxious",-18.6,65
"A/1","Alien","Dallas","male","BAP75","disorganized","self-disciplined",18.2,72
"A/1","Alien","Dallas","male","BAP76","quarrelsome","warm",-4.4,64
"A/1","Alien","Dallas","male","BAP77","nerd","jock",13.5,75
"A/1","Alien","Dallas","male","BAP78","lowbrow","highbrow",-3.6,65
"A/1","Alien","Dallas","male","BAP79","selfish","altruistic",9.8,68
"A/1","Alien","Dallas","male","BAP80","autistic","neurotypical",22.2,66
"A/1","Alien","Dallas","male","BAP81","angelic","demonic",-8.5,60
"A/1","Alien","Dallas","male","BAP82","hesitant","decisive",17,64
"A/1","Alien","Dallas","male","BAP83","devout","heathen",-8.1,47
"A/1","Alien","Dallas","male","BAP84","cruel","kind",12.6,45
"A/1","Alien","Dallas","male","BAP85","direct","roundabout",-16.2,58
"A/1","Alien","Dallas","male","BAP86","mathematical","literary",-15.3,55
"A/1","Alien","Dallas","male","BAP87","blue-collar","ivory-tower",-27,73
"A/1","Alien","Dallas","male","BAP88","slovenly","stylish",-2.2,78
"A/1","Alien","Dallas","male","BAP89","playful","shy",-12.1,54
"A/1","Alien","Dallas","male","BAP90","serious","bold",-2.3,68
"A/1","Alien","Dallas","male","BAP91","charming","trusting",1.8,73
"A/1","Alien","Dallas","male","BAP92","awkward","suspicious",17.1,65
"A/1","Alien","Dallas","male","BAP93","hipster","basic",6.7,56
"A/1","Alien","Dallas","male","BAP94","coordinated","clumsy",-27.8,64
"A/1","Alien","Dallas","male","BAP95","funny","humorless",4.2,79
"A/1","Alien","Dallas","male","BAP96","politically correct","edgy",0.200000000000003,64
"A/1","Alien","Dallas","male","BAP97","rich","poor",8.6,63
"A/1","Alien","Dallas","male","BAP98","hard","soft",-14.7079365079365,189
"A/1","Alien","Dallas","male","BAP99","remote","involved",14.4,74
"A/1","Alien","Dallas","male","BAP100","metaphorical","literal",16.8,58
"A/1","Alien","Dallas","male","BAP101","biased","impartial",-2.7,56
"A/1","Alien","Dallas","male","BAP102","mundane","extraordinary",-1.8,57
"A/1","Alien","Dallas","male","BAP103","tiresome","interesting",4.4,67
"A/1","Alien","Dallas","male","BAP104","smooth","rough",9.9,59
"A/1","Alien","Dallas","male","BAP105","spicy","mild",10.2,65
"A/1","Alien","Dallas","male","BAP106","enslaved","emancipated",2.8,69
"A/1","Alien","Dallas","male","BAP107","optimistic","pessimistic",-3.3,61
"A/1","Alien","Dallas","male","BAP108","sickly","healthy",19,86
"A/1","Alien","Dallas","male","BAP109","luddite","technophile",23.8,44
"A/1","Alien","Dallas","male","BAP110","vain","demure",-0.299999999999997,70
"A/1","Alien","Dallas","male","BAP111","high-tech","low-tech",-25.3,51
"A/1","Alien","Dallas","male","BAP112","flexible","rigid",2.6,64
"A/1","Alien","Dallas","male","BAP113","cosmopolitan","provincial",12.7,57
"A/1","Alien","Dallas","male","BAP114","arcane","mainstream",6.7,64
"A/1","Alien","Dallas","male","BAP115","outlaw","sheriff",15.4,63
"A/1","Alien","Dallas","male","BAP116","pronatalist","child free",8.2,53
"A/1","Alien","Dallas","male","BAP117","sad","happy",-10.7,52
"A/1","Alien","Dallas","male","BAP118","jealous","compersive",14.1,51
"A/1","Alien","Dallas","male","BAP119","bitter","sweet",-3.2,65
"A/1","Alien","Dallas","male","BAP120","resigned","resistant",5.5,52
"A/1","Alien","Dallas","male","BAP121","sarcastic","genuine",5.5,70
"A/1","Alien","Dallas","male","BAP122","human","animalistic",-28.3,73
"A/1","Alien","Dallas","male","BAP123","sporty","bookish",-5.2,56
"A/1","Alien","Dallas","male","BAP124","moderate","extreme",-17.5,53
"A/1","Alien","Dallas","male","BAP125","angry","good-humored",8.9,50
"A/1","Alien","Dallas","male","BAP126","depressed","bright",4.8,71
"A/1","Alien","Dallas","male","BAP127","self-conscious","self-assured",17.7,58
"A/1","Alien","Dallas","male","BAP128","vulnerable","armoured",15,51
"A/1","Alien","Dallas","male","BAP129","warm","cold",2.7,69
"A/1","Alien","Dallas","male","BAP130","assertive","passive",-16.5,62
"A/1","Alien","Dallas","male","BAP131","active","slothful",-20,68
"A/1","Alien","Dallas","male","BAP132","imaginative","practical",23.8,55
"A/1","Alien","Dallas","male","BAP133","adventurous","stick-in-the-mud",-4.3,59
"A/1","Alien","Dallas","male","BAP134","obedient","rebellious",-3.6,61
"A/1","Alien","Dallas","male","BAP135","competent","incompetent",-17.4,66
"A/1","Alien","Dallas","male","BAP136","unambitious","driven",19,52
"A/1","Alien","Dallas","male","BAP137","simple","complicated",-1.4,54
"A/1","Alien","Dallas","male","BAP138","proletariat","bourgeoisie",-12.2,61
"A/1","Alien","Dallas","male","BAP139","alpha","beta",-23,64
"A/1","Alien","Dallas","male","BAP140","'right-brained'","'left-brained'",-9.8,38
"A/1","Alien","Dallas","male","BAP141","thick-skinned","sensitive",-7.5,51
"A/1","Alien","Dallas","male","BAP142","charismatic","uninspiring",-7.6,43
"A/1","Alien","Dallas","male","BAP143","feisty","gracious",-0.799999999999997,61
"A/1","Alien","Dallas","male","BAP144","eloquent","unpolished",10.2,74
"A/1","Alien","Dallas","male","BAP145","high IQ","low IQ",-22.6,71
"A/1","Alien","Dallas","male","BAP146","insider","outsider",-9.1,76
"A/1","Alien","Dallas","male","BAP147","morning lark","night owl",13,44
"A/1","Alien","Dallas","male","BAP148","thin","thick",2.8,67
"A/1","Alien","Dallas","male","BAP149","sheeple","conspiracist",3.9,54
"A/1","Alien","Dallas","male","BAP150","neat","messy",-2.4,64
"A/1","Alien","Dallas","male","BAP151","vague","precise",18.6,54
"A/1","Alien","Dallas","male","BAP152","philosophical","real",17.5,66
"A/1","Alien","Dallas","male","BAP153","modern","historical",-3.5,61
"A/1","Alien","Dallas","male","BAP154","judgemental","accepting",-1.7,55
"A/1","Alien","Dallas","male","BAP155","average","deviant",-17.1,52
"A/1","Alien","Dallas","male","BAP156","gossiping","confidential",22,61
"A/1","Alien","Dallas","male","BAP157","official","backdoor",-7.8,57
"A/1","Alien","Dallas","male","BAP158","scholarly","crafty",7.3,70
"A/1","Alien","Dallas","male","BAP159","leisurely","hurried",-9.3,56
